sig,formid,editor_id,n,cells,cx,cy,rg_units,hull_cells2
TREE,000A7329,TreeThicket01,11142,1777,32297,-6958,116927,5386.2
TREE,000ABD65,TreeThicket01Snow,5494,959,48002,44887,93351,4399.2
TREE,00051126,TreePineForest05,4563,1160,24571,-21559,105796,3542.6
STAT,00000034,XMarkerHeading,4180,1542,23745,494,118018,5046.9
TREE,0004B016,TreePineForest03,4137,1160,31868,-26797,106933,3549.6
TREE,000A731C,TreeDeadShrub,4003,1312,30906,4556,116916,4820.3
TREE,0005C06E,TreePineForestSnow05,3368,1043,19754,40393,120630,5534.5
TREE,0005C070,TreePineForestSnow03,3209,991,29708,41318,121147,5539.1
TREE,0005C06F,TreePineForestSnow04,2868,946,24002,27610,122903,5566.5
TREE,00018A02,TreePineForest02,2764,848,20206,-23253,112529,3431.7
TREE,0005C071,TreePineForestSnow02,2702,895,10880,30707,123231,5507.9
TREE,000AAE8F,TreeFallForestShrub01,2702,407,143390,-85900,38417,509.3
TREE,000A731D,TreeDeadShrubSnow,2694,823,55244,39216,90089,4546.0
STAT,00022201,CritterLandingMarker_Small,2427,579,30398,-18906,116368,2997.3
TREE,0004FBB0,TreePineForest04,2323,794,56509,-35555,108401,3418.4
TREE,000AAE90,TreeFallForestShrub02,2051,383,135018,-84394,47625,1054.2
TREE,000AAE74,TreeYellowShrub02,2012,629,40598,-30729,100405,2225.5
TREE,0009DAA0,TreePineShrub02,1931,780,-466,-16306,101447,3403.3
TREE,0005D2D7,TreePineForestSnowL05,1774,617,-47481,24135,126237,5556.7
TREE,0007614B,TreeAspen05,1749,392,142170,-86616,38777,599.5
STAT,00018199,RockL01,1733,1048,14100,19532,131095,5521.6
STAT,0001819A,RockL02,1641,1087,-5844,13953,129992,5575.9
TREE,0007614A,TreeAspen06,1586,368,141213,-87605,37793,511.6
STAT,0000003B,XMarker,1517,658,16291,1686,119675,4510.2
TREE,0005D2D9,TreePineForestSnowL03,1516,567,-32804,17121,134164,5568.6
