sig,formid,editor_id,n,cells,cx,cy,rg_units,hull_cells2
TREE,02019C5B,DLC2TreeThicketAsh01,909,103,48338,34940,23888,217.6
?,000ABD65,<000ABD65>,592,87,59791,70647,21403,177.3
?,00022201,<00022201>,433,61,45797,37976,20408,132.7
?,00000034,<00000034>,362,124,48557,57309,29094,304.1
TREE,02017E94,DLC2TreeFloraScathecraw02,270,79,47525,36666,20387,131.3
?,000A731D,<000A731D>,208,50,61221,70274,16315,113.2
?,0004FF0E,<0004FF0E>,205,47,46986,29401,20181,123.8
?,0009DAA1,<0009DAA1>,174,69,61757,67161,17674,110.7
?,0002695A,<0002695A>,169,77,53264,72813,19878,123.9
?,0001E595,<0001E595>,165,80,51719,53317,31618,358.3
TREE,02019B16,DLC2TreeDeadShrubAsh,162,57,53334,35809,24509,134.3
?,000140BD,<000140BD>,157,43,47502,60918,33593,310.5
STAT,02017F6C,DLC2TreePineForestLogSm01AshL,154,65,54170,35492,22975,190.2
TREE,02017E93,DLC2TreeFloraScathecraw01,154,70,49506,33589,19257,110.6
?,0000003B,<0000003B>,143,71,48119,51465,32930,557.0
TREE,02017F62,DLC2TreePineForestDeadAshL05,141,52,49770,40204,22407,146.5
TREE,02019C60,DLC2TreePineShrubAsh02,132,70,48999,39080,20083,132.4
TREE,02016E25,DLC2TreeFloraSpikyGrassAsh02,130,58,61452,58704,34301,276.7
?,00085F83,<00085F83>,130,55,35755,59948,37335,287.4
?,0010C0E3,<0010C0E3>,129,21,34056,41529,23757,202.4
FLOR,02018B19,DLC2FloraTramaRoot03,119,57,48688,31966,17410,87.6
?,0002695C,<0002695C>,119,66,52324,74890,19299,128.3
STAT,02019C6B,DLC02AshDuneVolcAsh01M02,118,51,47871,32549,15655,68.6
TREE,02016E24,DLC2TreeFloraSpikyGrassAsh01,118,49,58991,52247,35235,270.8
?,000A7329,<000A7329>,116,33,42770,51464,32362,206.2
?,000BCF34,<000BCF34>,114,55,56060,65457,18918,92.3
?,000197CA,<000197CA>,106,62,48542,72183,20096,94.4
TREE,02017F5C,DLC2TreePineForestDeadAshL03,104,53,47410,30910,14845,75.6
STAT,02017F77,DLC2TreePineForestBroken04,100,42,55097,32439,17384,99.9
FLOR,02017005,DLC2FloraTramaRoot01,100,51,47945,30713,16883,102.7
?,0005C06E,<0005C06E>,100,38,64201,68892,15240,54.6
?,00060220,<00060220>,92,49,53798,71854,18946,104.9
?,000EF5A1,<000EF5A1>,92,42,58501,75691,21252,112.2
?,0001EF52,<0001EF52>,87,57,49491,73973,19386,119.1
STAT,02019C69,DLC02AshDuneVolcAsh01M01,86,45,47043,29259,14323,70.8
STAT,02016E0A,DLC2RockPileM02Rocks01VolcanicAsh01,85,49,49897,31186,15026,73.2
STAT,020185E5,DLC2TreePineForestBroken05,85,45,57211,34525,19975,125.8
TREE,02017F5B,DLC2TreePineForestDeadAshL02,85,46,50942,35531,18303,96.0
?,00000021,<00000021>,83,23,54819,42790,29317,217.6
TREE,02017F60,DLC2TreePineForestDeadAshL04,82,46,50589,34416,18554,86.4
STAT,0201E0B8,DLC2RockS02_Ash,78,27,45013,35273,24962,163.5
?,000EF5A3,<000EF5A3>,78,38,59371,76745,17748,113.6
?,000CD0F1,<000CD0F1>,78,32,67510,71031,11426,73.0
STAT,0201EE66,RockPileM02LightSnow,77,47,59602,74453,17224,111.5
FLOR,0203828D,DLC2PearlOysterThin01,72,52,48490,52231,36764,298.9
?,00085F82,<00085F82>,72,34,42067,69074,38281,295.2
TREE,02019C5E,DLC2TreePineShrubAsh01,72,36,45106,38414,21931,128.1
?,00086929,<00086929>,72,22,62283,79318,23163,100.3
STAT,020195EB,DLC2TreePineForestBroken02,71,48,53940,34672,19076,93.0
STAT,0201A57C,DLC02AshDuneVolcAsh01M03,70,35,50829,33410,16052,58.2
FLOR,0203828C,DLC2PearlOysterLarge01,69,48,48827,59791,38542,287.5
STAT,02019A27,DLC2RockM01_Ash,68,45,48547,29670,17277,88.9
?,000AA934,<000AA934>,67,35,49038,63642,26319,215.7
STAT,0201D500,DLC2TreePineForestBroken06,67,43,53615,34857,16272,75.6
?,00086923,<00086923>,65,25,60146,46810,32336,151.5
TREE,02017F71,DLC2TreePineForestAshL05,65,29,45808,50695,21241,84.6
FLOR,020184EF,DLC2FloraTramaRoot02,63,33,49471,27708,15404,69.4
STAT,0201D4F7,DLC2TreePineForestBrokenCluster01,63,47,51958,35105,18702,91.7
?,0005C06F,<0005C06F>,63,30,65604,68712,19163,76.8
?,0003E6A1,<0003E6A1>,63,6,82565,70296,13219,51.8
?,0002695B,<0002695B>,62,42,59797,69055,19362,102.8
FURN,02029EC4,DLC2ChiselStanding,60,8,54542,56218,22398,107.4
STAT,0201E0B9,DLC2RockS03_Ash,59,21,48588,34598,22103,85.4
?,0009DAA5,<0009DAA5>,58,25,58686,67687,21067,82.6
TREE,02017F6F,DLC2TreePineForestAshL03,58,29,48334,51492,21060,82.9
TREE,02017F74,DLC2TreePineForestAsh03,58,33,45517,33064,11703,40.0
TREE,020206E8,DLC2TreeFloraAshYam01,57,14,34098,30607,11494,34.8
STAT,0201E0B0,DLC2RockL01_Ash,57,38,51955,33865,19609,103.7
?,00000032,<00000032>,57,57,48804,58282,31031,309.7
?,0006F273,<0006F273>,55,52,32498,49019,41516,586.2
?,00000017,<00000017>,53,34,51287,43468,29668,237.9
FLOR,020195DC,DLC2FloraCreepClusterAsh,53,20,45792,37772,14093,32.1
?,00024F39,<00024F39>,52,35,50492,72975,18726,83.7
STAT,0203383D,DLC2TreePineShortHeavySnow,52,23,66453,71047,9276,23.7
TREE,02017F75,DLC2TreePineForestAsh04,51,34,44777,34797,12288,50.9
STAT,0201B934,1stPersonSpearSword,50,1,68101,58589,275,0.0
?,00018EDE,<00018EDE>,49,9,63818,63377,26090,112.2
STAT,0201E0B1,DLC2RockL02_Ash,49,34,48066,33121,17280,106.6
?,0005C070,<0005C070>,49,30,65228,72003,16720,80.3
STAT,020250A1,DLC2RockCliff03_Ash,48,33,57677,36192,15529,75.2
?,000E1FB2,<000E1FB2>,47,38,58202,72186,35267,294.1
?,00000010,<00000010>,46,45,48361,57843,29576,285.1
?,0003E6A7,<0003E6A7>,46,7,68209,67872,21399,66.4
?,0005D041,<0005D041>,46,28,64159,72204,12239,51.8
?,00027D51,<00027D51>,45,15,62611,65193,23356,181.8
STAT,020217D4,DLC2BasaltRubblePileFlat01_Ash,45,17,36233,28719,14531,37.6
?,000BCF3F,<000BCF3F>,45,19,66776,60331,19337,75.5
TREE,02017F6D,DLC2TreePineForestAshL02,45,27,52351,50224,22567,83.8
TREE,02017F70,DLC2TreePineForestAshL04,45,21,45763,46950,15937,37.1
?,000B2417,<000B2417>,44,29,42463,49213,40367,317.7
STAT,02019A29,DLC2RockM02_Ash,43,27,48665,29231,20379,77.0
?,000D96C3,<000D96C3>,43,38,43000,36060,20084,121.9
?,00018199,<00018199>,42,28,34073,50491,31167,211.6
?,000533B8,<000533B8>,42,9,53163,57007,17226,122.8
STAT,0203383C,DLC2TreePineShortHeavySnow01,42,26,66197,72406,9246,22.6
STAT,02024FDE,DLC2BasaltSlab01_Ash,41,21,36682,28480,16458,38.1
ACTI,0203CD87,DLC2FXTernNoNestACT,41,28,52049,75093,33949,215.1
MSTT,02019AD3,DLC2FXAmbAshBlowing01,41,20,50983,25938,10234,18.4
STAT,02016E13,DLC2RockPileL03VolcanicAsh01,40,32,53967,32108,14554,50.5
?,00024BAD,<00024BAD>,39,32,58560,73130,19335,124.9
?,000A2BBF,<000A2BBF>,38,14,44247,38276,28471,211.1
TREE,02017F76,DLC2TreePineForestAsh05,37,22,47739,33898,11531,40.6
STAT,02017F68,DLC2TreePineForestLog01AshL,37,32,60727,48277,24467,156.9
TREE,02017F5A,DLC2TreePineForestDeadAshL01,37,34,51774,37763,18410,92.8
ACTI,02019727,DLC2AudioRepeaterActivator,36,15,49045,50086,37167,254.6
TREE,02017F73,DLC2TreePineForestAsh02,36,21,50252,36516,10904,30.6
?,000613A6,<000613A6>,35,23,48591,44264,28055,243.6
?,000E3C16,<000E3C16>,35,13,45876,47583,28536,147.1
?,0007A609,<0007A609>,35,7,30056,36748,11148,40.1
?,000319E3,<000319E3>,34,8,51000,62301,30422,167.4
?,000BE3E1,<000BE3E1>,34,18,29658,32999,27722,164.9
?,00085F80,<00085F80>,34,13,29104,44437,26061,107.2
ALCH,020206E7,DLC2FoodAshYam,34,4,28143,40815,8357,13.5
?,00097F68,<00097F68>,34,12,53612,71731,30941,232.5
?,0001CC4A,<0001CC4A>,34,18,52825,64367,27607,145.7
IDLM,02034EE8,DLC2AshHopperSleepMarker,34,10,50393,37421,10770,21.0
MSTT,02028B3E,DLC2ToolsChisel01,33,5,49849,54949,27661,107.4
?,0005CAE1,<0005CAE1>,33,5,49844,54944,27659,107.4
?,000A731C,<000A731C>,33,15,37156,58048,25729,156.8
AMMO,02017720,DLC2RieklingSpearThrown,33,8,58688,63225,28070,55.3
STAT,02032A5F,DLC2StalhrimOrePile,32,2,28789,87482,10431,0.6
?,0005C071,<0005C071>,32,19,68028,70076,17790,69.5
?,00048AC0,<00048AC0>,31,27,48696,47245,27413,192.2
STAT,02017F64,DLC2TreePineForestStump01AshL,31,26,53472,41730,21209,96.9
STAT,020185EF,DLC2TreePineForestLog01Ash,31,25,55173,36203,17881,64.6
STAT,0201EEEA,DLC2RieklingFence01Snow,31,5,33436,76461,19468,62.9
?,000533C0,<000533C0>,31,8,43486,38155,28127,83.4
?,00030204,<00030204>,31,26,50846,72996,17395,67.4
STAT,0202074C,DLC2DweRubblePile04,31,8,74544,43777,14792,9.2
STAT,02017F67,DLC2TreePineForestLog02AshL,30,23,59847,39605,20215,85.8
?,0010CD5B,<0010CD5B>,30,9,43217,75790,31002,145.5
STAT,02017EA7,DLC2MountainTrimSlab_Ash,30,22,56286,36807,15556,37.5
STAT,020185F0,DLC2TreePineForestLog02Ash,29,25,47919,34045,15577,69.8
?,000C2C05,<000C2C05>,29,16,37444,51666,35366,222.9
?,0001EF55,<0001EF55>,29,13,61720,72629,15785,46.2
?,000BB8BC,<000BB8BC>,29,14,62636,74877,13681,97.6
?,0003F63C,<0003F63C>,29,7,57951,30755,10634,5.3
?,00012FDF,<00012FDF>,28,16,47643,51684,29849,187.3
?,000B5994,<000B5994>,28,24,52892,73591,16673,72.8
?,0005EB21,<0005EB21>,28,25,54109,75403,21221,81.3
FURN,0202A6D3,DLC2ChiselKneeling,27,6,47313,51445,26017,108.9
STAT,02016E0F,DLC2RockPileL01VolcanicAsh01,27,17,49106,34582,16588,57.8
STAT,020217D6,DLC2BasaltRubblePile02_Ash,27,10,46824,29322,23744,28.0
